ClassDescKeywordId,Keyword,ClassDescriptionId,ClassCode,ClassSuffix,DirectOK
463,Fitness Gym,55,9055,0,N
56,Roller-Skating Rink Operation,56,9093,2,Y
57,Shooting Gallery,57,9180,2,N
253,Rifle Range,57,9180,2,N
58,"YMCA, YWCA, YMHA or YWHA, Institution",58,9063,0,N
59,Nurseries,60,5,0,N
60,Landscape Gardening,61,42,0,Y
273,Gardener,61,42,0,Y
61,Lawn Maintenance,62,42,0,Y
62,Parks/Gardens,63,9102,0,Y
63,Sprinkler Installation (Inside Buildings),64,5188,0,Y
64,"Tree Pruning, Spraying, Repairing",65,106,0,N
65,Food Products,66,6504,0,N
66,Meat Products,67,2095,0,N
67,Clothing Manufacturing,68,2501,3,Y
68,Cosmetics Manufacturing,69,4611,0,N
69,Die Casting Manufacturing,70,1925,0,N
70,Embroidery Manufacturing,71,2388,0,N
71,Furniture Manufacturing,72,3076,0,N
72,Instrument Manufacturing,73,3685,0,N
73,Machinery Manufacturing,74,3632,0,Y
74,Paper Manufacturing,75,4239,0,N
75,Pharmaceutical Manufacturing,76,4693,0,N
76,Plastics Manufacturing,77,4475,0,N
77,Plumbing Products Manufacturing,78,3188,0,N
78,Parts Manufacturing,79,3629,0,N
79,Bistro,80,9071,0,Y
498,Bistro - Restaurant,80,9071,0,Y
499,Buffet - Restaurant,81,9071,0,Y
80,Buffet,81,9071,0,Y
398,Smorgasbord,81,9071,0,Y
81,Caf̩,82,9071,0,Y
500,Cafe - Restaurant,82,9071,0,Y
501,Caterer - Restaurant,83,9071,1,Y
82,Caterer,83,9071,1,Y
397,Catering,83,9071,1,Y
368,Diner,84,9071,0,Y
83,Family,84,9071,0,Y
502,Family Restaurant,84,9071,0,Y
503,Fast Food - Restaurant,85,9072,0,Y
84,Fast Food,85,9072,0,Y
85,Fine-Dining,86,9071,0,Y
504,Fine-Dining - Restaurant,86,9071,0,Y
505,Pizza - Restaurant,87,9072,0,Y
485,Pizzeria,87,9072,0,Y
86,Pizza,87,9072,0,Y
254,Brick Oven Pizza,87,9072,0,Y
87,Bar/Tavern,88,9074,0,Y
407,Pub,88,9074,0,Y
408,Lounge,88,9074,0,Y
409,Saloon,88,9074,0,Y
410,Alehouse,88,9074,0,Y
88,Lounge/Night Club,89,9074,0,Y
89,Bakery ,90,2003,0,Y
405,Pastry Shop,90,2003,0,Y
406,Bake Shop,90,2003,0,Y
90,Coffee Shop,91,8017,27,Y
91,Delicatessen,92,8006,5,Y
367,Deli,92,8006,5,Y
265,Donut Shop,93,9072,1,Y
92,Doughnut Shop,93,9072,1,Y
93,Grocery,94,8006,0,Y
94,Beverage Store (Alchoholic),95,8017,27,Y
308,Liquor Store,95,8017,27,Y
95,Supermarket,96,8033,1,Y
96,Bicycles,97,8025,0,Y
255,Bike,97,8025,0,Y
97,Books,98,8072,0,Y
98,Camera and Photographic Supplies,99,8017,27,Y
99,Clothing,100,8008,0,Y
100,Convenience,101,8006,0,Y
101,Department,102,8039,0,Y
102,Drugs,103,8017,22,Y
436,Pharmacy,103,8017,22,Y
437,Drug Store,103,8017,22,Y
438,Apothecary,103,8017,22,Y
103,Flooring,104,8017,27,N
104,Florist,105,8001,0,Y
105,Furniture,106,8044,0,N
106,General,107,8017,27,Y
107,Jewelry,108,8013,0,Y
108,Pawn Shop,109,8017,27,N
109,Pet and Pet Supply,110,8017,27,Y
110,Shoes,111,8008,2,Y
419,Sneakers,111,8008,2,Y
111,Sporting Goods,112,8017,27,Y
112,Toys,113,8017,27,Y
113,Building Material Dealer,114,8232,0,N
114,Hardware,115,7998,0,Y
115,Home Improvement Center,116,8232,0,N
116,Paint or Wallpaper,117,8017,27,Y
117,Plumbers Supplies,118,8111,0,Y
118,Appliances/Machines,119,9519,0,Y
480,Satellite Installation,119,9519,0,Y
411,Securiy Systems,120,5191,0,Y
469,Security Company,120,5191,0,Y
452,Alarm Systems,120,5191,0,Y
119,Burglar and Fire Alarm,120,5191,0,Y
120,Ceiling Installation,121,5479,0,Y
121,Fencing,122,6400,0,Y
122,Furniture or Fixtures,123,5429,1,Y
123,Millwright Work,124,3724,3,N
124,Swimming Pools,125,5223,0,N
125,Hair Salons,126,9586,0,Y
371,Barber Shops,126,9586,0,Y
372,Beauty Parlor,126,9586,0,Y
126,Laundry and Dry Cleaning,128,2590,0,Y
510,Laundromat (Self-Service),128,2590,0,Y
127,Nail Salons,129,9586,3,N
128,Sun Tanning Salons,130,9586,4,Y
129,Tattoo Parlors,131,9586,5,Y
130,Accountant,132,8803,0,Y
400,Actuary,132,8803,0,Y
257,CPA,132,8803,0,Y
258,Certified Public Accountant,132,8803,0,Y
259,Tax Preparation,132,8803,0,Y
260,Bookkeeping,132,8803,0,Y
421,Analyst,132,8803,0,Y
403,Engineers,133,8601,0,Y
131,Architects/Engineers,133,8601,0,Y
132,Attorneys,134,8820,0,Y
404,Paralegal,134,8820,0,Y
133,Auditor,135,8803,0,Y
134,Banks/Credit Unions,136,8810,0,Y
445,Credit Union,136,8810,0,Y
135,Clerical Office Employees,137,8810,0,Y
136,Computer Programming or Design,138,8803,0,Y
290,Software Development,138,8803,0,Y
291,Software Engineering,138,8803,0,Y
292,Software Programming,138,8803,0,Y
293,Programmer,138,8803,0,Y
294,Web Design,138,8803,0,Y
295,Ecommerce,138,8803,0,Y
296,Application Development,138,8803,0,Y
297,Computer Programmer,138,8803,0,Y
300,Temporary Employment Agency,139,8810,0,N
301,Recruiting Services,139,8810,0,N
266,Headhunting Services,139,8810,0,N
137,Employment Placement Agencies,139,8810,0,N
495,Professional Employer Organization,139,8810,0,N
